Id,OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,State,PostalCode,Region,ProductID,Category,ProductName,Sales,Quantity
7981,CA-2014-103800,2014-01-03,2014-01-07,Standard Class,DP-13000,Darren Powers,Consumer,Texas,77095,Central,OFF-PA-10000174,Office Supplies,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,2
740,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Avery 508,11.78,3
741,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,SAFCO Boltless Steel Shelving,272.74,3
742,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,GBC Standard Plastic Binding Systems Combs,3.54,2
1760,CA-2014-141817,2014-01-05,2014-01-12,Standard Class,MB-18085,Mick Brown,Consumer,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3
5328,CA-2014-130813,2014-01-06,2014-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,California,90049,West,OFF-PA-10002005,Office Supplies,Xerox 225,19.44,3
7181,CA-2014-106054,2014-01-06,2014-01-07,First Class,JO-15145,Jack O'Briant,Corporate,Georgia,30605,South,OFF-AR-10002399,Office Supplies,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3
7475,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,Kentucky,42420,South,FUR-CH-10004063,Furniture,Global Deluxe High-Back Manager's Chair,2573.82,9
7476,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Ibico Hi-Tech Manual Binding System,609.98,2
7477,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Rogers Handheld Barrel Pencil Sharpener,5.48,2
7478,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,Kentucky,42420,South,TEC-PH-10004977,Technology,GE 30524EE4,391.98,2
7479,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,Kentucky,42420,South,TEC-PH-10004539,Technology,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4
7480,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,"Alliance Super-Size Bands, Assorted Sizes",31.12,4
7481,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1
7661,CA-2014-105417,2014-01-07,2014-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Texas,77340,Central,FUR-FU-10004864,Furniture,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3
7662,CA-2014-105417,2014-01-07,2014-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Texas,77340,Central,OFF-BI-10003708,Office Supplies,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7
593,CA-2014-135405,2014-01-09,2014-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Newell 312,9.34,2
594,CA-2014-135405,2014-01-09,2014-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,Texas,78041,Central,TEC-AC-10001266,Technology,Memorex Micro Travel Drive 8 GB,31.2,3
866,CA-2014-149020,2014-01-10,2014-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Avery 482,2.89,1
867,CA-2014-149020,2014-01-10,2014-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,Virginia,22153,South,FUR-FU-10000965,Furniture,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1
717,CA-2014-130092,2014-01-11,2014-01-14,First Class,SV-20365,Seth Vernon,Consumer,Delaware,19901,East,FUR-FU-10000010,Furniture,"DAX Value U-Channel Document Frames, Easel Back",9.94,2
764,CA-2014-162775,2014-01-13,2014-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Staple envelope,11.36,2
765,CA-2014-162775,2014-01-13,2014-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Brown Kraft Recycled Envelopes,50.94,3
766,CA-2014-162775,2014-01-13,2014-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,Louisiana,71111,South,TEC-AC-10003174,Technology,Plantronics S12 Corded Telephone Headset System,646.74,6
767,CA-2014-162775,2014-01-13,2014-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,3-ring staple pack,5.64,3
768,CA-2014-162775,2014-01-13,2014-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6
2979,CA-2014-109232,2014-01-13,2014-01-16,Second Class,ND-18370,Natalie DeCherney,Consumer,South Carolina,29464,South,FUR-CH-10000422,Furniture,Global Highback Leather Tilter in Burgundy,545.94,6
